N.;Comune;Località;Titolare Concessione;Tipologia concessoria (L.R. 13/2007 e R.R. n. 11/2009);N. Concess. Data rilascio;Denominazione;Superficie scoperta mq.;Opere facile rimozione mq.;Opere difficile rimozione mq.;Pertinenze  mq.;Totale superficie coperta mq.;Fronte mare metri lineari;Specchio acqueo mq.
21;MONTALTO DI CASTRO;LUNGOMARE HARMINE, SNC - MONTALTO DI CASTRO;COMUNE MONTALTO DI CASTRO;SA;Conc. N. 46/2008;COMUNE MONTALTO DI CASTRO;2447,35;;;;;67,7;
22;MONTALTO DI CASTRO;LOC. PAGLIETO GRANDE - PESCIA ROMANA;LUIGINA DELMIRANI;SA;Conc. N. 55/2011;DELMIRANI LUIGINA;681,3;518,7;;;518,7;49,26;
23;MONTALTO DI CASTRO;BANCHINA DI DRITTA DELLA FOCE DEL FIUME FIORA;RAGGR. TEMPORANEO DI CONCORRENTI TRA LA COOP. PICCOLA PESCA HARMINE E L'ASS.NE DIPORTISTI MONTALTO DI CASTRO;PO;Conc. N. 47/2010;RAGGR. TEMPORANEO DI CONCORRENTI TRA LA COOP. PICCOLA PESCA HARMINE E L'ASS.NE DIPORTISTI MONTALTO DI CASTRO;;;;;;;1880
24;MONTALTO DI CASTRO;SPONDA SINISTRA FOCE FIUME FIORA;VINCENZO MUOIO;PO;Conc. N. 3/2005;MUOIO VINCENZO;;;;;;;500
1;NETTUNO;CRETA ROSSA;SOC. COLPER;SB;Conc. N. 167 - 29.4.2009;BELLAVISTA;4392;108;;;108;200;
2;NETTUNO;PUNTA BORGHESE;RICCARDO SPAGNOLETTI;PO;Conc. N. 168 - 12.5.2009;ASS. PUNTA BORGHESE;352,8;7,2;;;7,2;;
3;NETTUNO;PORTO TURISTICO;VALDRONI CLAUDIO;SA;Conc. N. 163 - 29.5.2008;CIRCOLO CANOTTIERI NETTUNO;430;170;;;170;;600
4;NETTUNO;CRETA ROSSA;ISABELLA GIUNGARELLI;SB;Conc. N. 161 - 29.5.2008;7 FIORI BLU;3200;150;;;150;100;
5;NETTUNO;CRETA ROSSA;ANNARITA GIUGLIANO;SB;Conc. N. 162 - 29.5.2008;NETTUNO BEACH;4974;326;;;326;145;
6;NETTUNO;SCACCIAPENSIERI;LA PLAYA SRL;SA;Conc. N. 175 - 8.2.2010;LA PLAYA SRL;1250;;;;;;
7;NETTUNO;CRETA ROSSA;LEGA NAVALE ITALIANA;ARS;Conc. N. 160 - 29.5.2008;LEGA NAVALE ITALIANA;3438;62;;;62;;
8;NETTUNO;PIAZZALE SAN ROCCO;MARILENA MASSARI;ER;Conc. N. 186 - 14.5.2012;CHIOSCO SAN ROCCO;;16;;;16;;
9;NETTUNO;VIALE AMERIGO VESPUCCI;SOCIETA' IL MIRAGGIO;ER;Conc. N. 182 - 1.7.2010;CHIOSCO;87;30;;;30;;
10;NETTUNO;BELVEDERE;ASS.NE PRO LOCO NETTUNO;SB;Conc. N. 176-13/4/2014;PRO LOCO NETTUNO;4090;110;;;110;90;
11;NETTUNO;RIVIERA GUIDO EGIDI;KATHELEEN SHANDLEY;SB;Conc. N. 177 - 27.4.2010;LA QUIETE;1886,85;114,15;449;;563,15;;
12;NETTUNO;CASTEL SAN GALLO;SOC. ITALO ROMAGNOLI E F.LLI ORCI SNC;SB;Conc. N. 179 - 13.5.2010;BAGNI SAN GALLO;4749;82;8;177;267;110,6;
13;NETTUNO;SAN ROCCO;ELENA ROSSI GARGIULO;SB;Conc. N. 178 - 30.4.2010;IL GABBIANO;3006,33;361,67;;;361,67;98;
14;NETTUNO;SAN ROCCO;CONCETTA RINALDI;SB;Conc. N. 174 - 22.1.2010;SALUS;2153,3;115,7;95;;210,7;;
15;NETTUNO;SCACCIAPENSIERI;MARINA MELLARA;SB;Conc. N. 164 - 29.5.2008;SCACCIAPENSIERI;4770;150;;;150;130;
16;NETTUNO;RIVIERA LEVANTE;LUIGI DOTTI;SB;Conc. N. 166 - 28.7.2008;LE SIRENE;19407,61;400,91;1191,48;;1592,39;;
17;NETTUNO;LEVANTE CASTELLO S. GALLO;STEFANO DELLA BELLA;SB;Conc. N. 173 - 31.12.2009;BAGNI VITTORIA;12169;181;200;;381;95;
18;NETTUNO;BELVEDERE;FRANCO MANCINI;SB;Conc. N. 180 - 24.6.2010;TURISTICO MARINARA;4866,72;533,23;;;533,23;125;
19;NETTUNO;LEVANTE DELLA CHIESA SAN ROCCO;SOC. SHAKE;ER;Conc. N. 185 - 14.5.2012;SHAKE;;28;;;28;;
20;NETTUNO;VIALE AMERIGO VESPUCCI;TURINVEST FUTURA;ER;Conc. N. 170 - 29.6.2009;CHIOSCO;;15,16;;;15,16;;
21;NETTUNO;PIAZZALE SAN ROCCO;NATALINI ROSA;ER;Conc. N. 184 - 14.2.2011;CHIOSCO SAN ROCCO;;24,6;;;24,6;;
22;NETTUNO;PIAZZALE SAN ROCCO;LANZILLOTTO  VALERIA;ER;Conc. N. 183 - 30.10.2010;CHIOSCO SAN ROCCO;;24,6;;;24,6;;
1;POMEZIA;VIA TOLEDO, SNC;ALESSIAMARE DI MASSIMO SCAGLIONI & C S.A.S.;ER;Conc. N. 49/2002;TAFF;842,38;87,62;;230;317,62;38;
2;POMEZIA;VIA LUGANO, 20;ASS. GINNICO SPORTIVA PINETA MARE;ARS;Conc. N. 7/2009;ASS. GINNICO SPORTIVA PINETA MARE;3996,5;46;;;46;73,5;
3;POMEZIA;PIAZZA UNGHERIA;COSTRUZIONI MIRAMARE SRL;SR;Conc. N. 02/2005;COSTRUZIONI MIRAMARE SRL;631;;169;;169;;
4;POMEZIA;VIA LITORANEA KM. 10,368 - 10,534;CUBALIBRE SRL;NIAB;Conc. N. 14/2009;CUBA LIBRE;100;;;;;10;
5;POMEZIA;LUNGOMARE DELLE MEDUSE, 96;MARCO BRUNI;ER;Conc. N. 25/2009;SURF MUSIC;130,05;;110,59;29,12;139,71;15,1;
6;POMEZIA;VIA CAPRI, 3;EDEN SRL;NIAB;Conc. N. 1/2009;EX FATICANTI NADIA;100;;;;;20;
7;POMEZIA;LUNGOMARE DELLE SIRENE, 401;CELORI S.R.L.;SB;Conc. N. 20/2002;CELORI;2359,8;52,2;658;;710,2;50;
8;POMEZIA;LUNGOMARE DELLE MEDUSE, 191;RAFFAELE TREGLIA;SB;Conc. N. 15/2002;CLEOPATRA;1586;;48,97;248,18;297,15;58;
9;POMEZIA;VIA LITORANEA KM. 14,450;MARIO CONTE;NIAB;Conc. N. 21/2009;LA SPIAGGETTA;64;11;;;11;10;
